epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=256, out_features=4, bias=False)0","effective_rank_site_0_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_0_FakeLinear(input_features=13184, output_features=512, bias=False)4","effective_rank_site_0_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_0_Linear(in_features=3, out_features=192, bias=False)7","effective_rank_site_1_Linear(in_features=256, out_features=4, bias=False)0","effective_rank_site_1_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_1_FakeLinear(input_features=13184, output_features=512, bias=False)4","effective_rank_site_1_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_1_Linear(in_features=3, out_features=192, bias=False)7","effective_rank_site_agg_Linear(in_features=256, out_features=4, bias=False)0","effective_rank_site_agg_Linear(in_features=512, out_features=256, bias=False)2","effective_rank_site_agg_FakeLinear(input_features=13184, output_features=512, bias=False)4","effective_rank_site_agg_Linear(in_features=64, out_features=192, bias=False)6","effective_rank_site_agg_Linear(in_features=3, out_features=192, bias=False)7",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
0,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,3.0,14.0,14.0,14.0,3.0,3.0,14.0,14.0,14.0,3.0,6.0,28.0,28.0,28.0,6.0,1.1991169452667236,6.314270973205566,0.53125,0.391304347826087,0.0,1.5452322959899902,6.314270973205566,0.125,0.391304347826087,0.0,0.391304347826087,1.3472986221313477,0.391304347826087,1.3472986221313477,0.0,0.0,0.0,0
1,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,3.0,14.0,14.0,14.0,3.0,3.0,14.0,14.0,14.0,3.0,6.0,28.0,28.0,28.0,6.0,1.0652799606323242,5.691929817199707,0.6875,0.5434782608695652,0.0,1.2228695154190063,5.691929817199707,0.375,0.5434782608695652,0.0,0.5434782608695652,1.104474425315857,0.5434782608695652,1.104474425315857,0.0,0.0,0.0,0
2,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,3.0,14.0,14.0,14.0,3.0,3.0,14.0,14.0,14.0,5.0,6.0,28.0,28.0,28.0,8.0,0.9674737453460693,5.206170558929443,0.75,0.6086956521739131,0.0,0.9674660563468933,5.206170558929443,0.90625,0.6086956521739131,0.0,0.6086956521739131,0.9121807813644409,0.6086956521739131,0.9121807813644409,0.0,0.0,0.0,0
3,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,3.0,14.0,14.0,14.0,3.0,3.0,14.0,14.0,14.0,3.0,6.0,28.0,28.0,28.0,6.0,0.8892735838890076,4.819684982299805,0.78125,0.6159420289855072,0.0,0.7670878767967224,4.819684982299805,1.0,0.6159420289855072,0.0,0.6159420289855072,0.7638514041900635,0.6159420289855072,0.7638514041900635,0.0,0.0,0.0,0
4,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,4.0,14.0,14.0,14.0,3.0,3.0,14.0,14.0,14.0,3.0,7.0,28.0,28.0,28.0,6.0,0.8182334303855896,4.506803512573242,0.78125,0.644927536231884,0.0,0.615962028503418,4.506803512573242,1.0,0.644927536231884,0.0,0.644927536231884,0.6531895399093628,0.644927536231884,0.6531895399093628,0.0,0.0,0.0,0
5,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,3.0,14.0,14.0,14.0,3.0,4.0,14.0,14.0,14.0,3.0,7.0,28.0,28.0,28.0,6.0,0.7490496039390564,4.248449802398682,0.8125,0.6521739130434783,0.0,0.5026730298995972,4.248449802398682,1.0,0.6521739130434783,0.0,0.6521739130434783,0.57082200050354,0.6521739130434783,0.57082200050354,0.0,0.0,0.0,0
6,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,3.0,14.0,14.0,14.0,3.0,3.0,14.0,14.0,14.0,3.0,6.0,28.0,28.0,28.0,6.0,0.6808026432991028,4.032116889953613,0.84375,0.6521739130434783,0.0,0.4177110493183136,4.032116889953613,1.0,0.6521739130434783,0.0,0.6521739130434783,0.5096888542175293,0.6521739130434783,0.5096888542175293,0.0,0.0,0.0,0
7,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,4.0,14.0,14.0,14.0,3.0,4.0,14.0,14.0,14.0,9.0,8.0,28.0,28.0,28.0,12.0,0.6126804947853088,3.8487043380737305,0.875,0.6521739130434783,0.0,0.35348865389823914,3.8487043380737305,1.0,0.6521739130434783,0.0,0.6521739130434783,0.4621869623661041,0.6521739130434783,0.4621869623661041,0.0,0.0,0.0,0
8,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,3.0,14.0,14.0,14.0,3.0,3.0,14.0,14.0,14.0,3.0,6.0,28.0,28.0,28.0,6.0,0.5464367270469666,3.692779064178467,0.875,0.6594202898550725,0.0,0.30420178174972534,3.692779064178467,1.0,0.6594202898550725,0.0,0.6594202898550725,0.4221513867378235,0.6594202898550725,0.4221513867378235,0.0,0.0,0.0,0
9,rankdad,0.0001,32,4,5,gru,tapnet-Epilepsy,16,10,3.0,14.0,14.0,14.0,3.0,3.0,14.0,14.0,14.0,3.0,6.0,28.0,28.0,28.0,6.0,0.4841504991054535,3.5604214668273926,0.9375,0.6739130434782609,0.0,0.26568272709846497,3.5604214668273926,1.0,0.6739130434782609,0.0,0.6739130434782609,0.3867371082305908,0.6739130434782609,0.3867371082305908,0.0,0.0,0.0,0
